date,high,low,cache,share_count,amount_in_shares,overall_result,comission,tax,total_tax
2021-06-16,6637.5,6522.5,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-06-17,6746.0,6560.5,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-06-18,6710.0,6606.0,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-06-21,6700.0,6603.0,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-06-22,6769.0,6663.0,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-06-23,6741.5,6621.0,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-06-24,6759.0,6620.0,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-06-25,6813.0,6710.5,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-06-28,6867.0,6744.0,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-06-29,6749.0,6642.5,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-06-30,6804.5,6617.0,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-07-01,7013.0,6762.0,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-07-02,6920.0,6810.5,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-07-05,6878.0,6767.0,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-07-06,6939.0,6824.0,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-07-07,6904.5,6732.5,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-07-08,6750.0,6597.0,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-07-09,6717.0,6618.0,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-07-12,6650.0,6573.0,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-07-13,6646.0,6580.0,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-07-14,6750.0,6562.0,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-07-15,6552.0,6403.0,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-07-16,6479.5,6327.5,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-07-19,6339.0,6213.5,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-07-20,6330.0,6205.0,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-07-21,6408.5,6265.5,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-07-22,6467.0,6330.5,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-07-23,6477.5,6380.5,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-07-26,6408.0,6315.0,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-07-27,6401.5,6292.0,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-07-28,6427.0,6342.0,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-07-29,6455.5,6382.5,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-07-30,6402.0,6266.5,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-08-02,6380.0,6260.0,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-08-03,6330.0,6205.5,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-08-04,6333.5,6226.0,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-08-05,6312.0,6211.5,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-08-06,6328.5,6227.0,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-08-09,6310.0,6110.5,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-08-10,6427.5,6322.0,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-08-11,6487.5,6400.0,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-08-12,6530.0,6431.5,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-08-13,6512.0,6406.0,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-08-16,6503.0,6369.5,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-08-17,6615.0,6441.5,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-08-18,6615.0,6444.5,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-08-19,6424.5,6255.0,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-08-20,6348.0,6262.5,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-08-23,6489.0,6371.0,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-08-24,6521.5,6408.0,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-08-25,6483.0,6420.5,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-08-26,6430.0,6308.0,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-08-27,6443.0,6325.5,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-08-30,6471.5,6403.5,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-08-31,6449.0,6221.0,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-09-01,6351.0,6264.0,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-09-02,6408.0,6278.5,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-09-03,6366.0,6301.0,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-09-06,6372.0,6314.5,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-09-07,6338.5,6268.5,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-09-08,6354.0,6246.5,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-09-09,6354.5,6261.0,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-09-10,6339.0,6272.0,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-09-13,6423.5,6308.0,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-09-14,6600.0,6428.5,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-09-15,6767.0,6583.5,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-09-16,6800.0,6565.0,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-09-17,6673.0,6565.0,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-09-20,6596.5,6494.0,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-09-21,6660.0,6557.0,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-09-22,6721.5,6622.0,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-09-23,6801.0,6707.0,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-09-24,6859.5,6740.5,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-09-27,7003.0,6871.0,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-09-28,7141.5,6964.0,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-09-29,7030.0,6900.5,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-09-30,7039.0,6850.5,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-10-01,6990.0,6835.0,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-10-04,7160.5,6940.5,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-10-05,7417.0,7123.0,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-10-06,7417.0,7030.0,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-10-07,7189.5,6984.5,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-10-08,7279.0,7170.5,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-10-11,7320.0,7253.0,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
2021-10-12,7332.0,7192.0,577145.27,0,0.0,577145.27,674.73,13390.0,24570.0
